El-lab,El-modarag,Redmi,youssef,Farouk,target
-100,-66,-50,-100,-100,modarag_hall
-100,-68,-47,-100,-100,modarag_hall
-100,-69,-47,-100,-84,modarag_hall
-100,-100,-46,-100,-100,modarag_hall
-100,-71,-46,-86,-100,modarag_hall
-100,-68,-49,-100,-100,modarag_hall
-100,-64,-61,-84,-100,modarag_hall
-100,-66,-47,-100,-100,modarag_hall
-100,-71,-47,-100,-100,modarag_hall
-100,-100,-49,-100,-100,modarag_hall
-100,-69,-51,-100,-100,modarag_hall
-100,-68,-52,-100,-100,modarag_hall
-100,-74,-50,-100,-100,modarag_hall
-100,-72,-72,-100,-100,modarag_hall
-100,-73,-64,-100,-73,modarag_hall
-100,-65,-55,-100,-100,modarag_hall
-100,-68,-59,-100,-100,modarag_hall
-100,-65,-52,-100,-100,modarag_hall
-100,-64,-50,-100,-100,modarag_hall
-100,-64,-67,-100,-100,modarag_hall
-100,-67,-68,-100,-100,modarag_hall
-100,-100,-56,-100,-100,modarag_hall
-100,-100,-65,-100,-100,modarag_hall
-100,-70,-67,-100,-79,modarag_hall
-100,-67,-52,-83,-100,modarag_hall
-100,-62,-63,-100,-74,modarag_hall
-100,-66,-77,-100,-100,modarag_hall
-100,-62,-62,-100,-100,modarag_hall
-100,-65,-69,-100,-100,modarag_hall
-100,-68,-57,-100,-80,modarag_hall
-100,-59,-63,-100,-100,modarag_hall
-100,-65,-55,-100,-100,modarag_hall
-100,-70,-100,-100,-100,modarag_hall
-100,-63,-71,-100,-100,modarag_hall
-100,-66,-77,-100,-100,modarag_hall
-100,-67,-73,-100,-77,modarag_hall
-100,-65,-68,-100,-100,modarag_hall
-100,-70,-70,-100,-100,modarag_hall
-100,-58,-54,-100,-100,modarag_hall
-100,-70,-59,-100,-75,modarag_hall
-100,-67,-58,-100,-100,modarag_hall
-100,-65,-58,-100,-100,modarag_hall
-100,-67,-54,-100,-100,modarag_hall
-100,-67,-59,-100,-100,modarag_hall
-100,-67,-61,-100,-100,modarag_hall
-100,-66,-51,-100,-100,modarag_hall
-100,-64,-59,-100,-100,modarag_hall
-100,-66,-100,-100,-100,modarag_hall
-100,-64,-100,-100,-100,modarag_hall
-100,-68,-68,-100,-100,modarag_hall
-100,-65,-74,-100,-100,modarag_hall
-100,-62,-53,-86,-77,modarag_hall
-100,-68,-66,-85,-100,modarag_hall
-100,-73,-55,-84,-100,modarag_hall
-100,-67,-71,-100,-100,modarag_hall
-100,-64,-56,-100,-100,modarag_hall
-100,-67,-52,-100,-100,modarag_hall
-100,-68,-60,-100,-100,modarag_hall
-100,-69,-65,-100,-100,modarag_hall
-100,-69,-57,-100,-100,modarag_hall
-100,-71,-49,-87,-100,modarag_hall
-100,-68,-48,-85,-100,modarag_hall
-100,-69,-51,-88,-100,modarag_hall
-100,-69,-64,-100,-100,modarag_hall
-100,-76,-68,-100,-100,modarag_hall
-100,-68,-61,-100,-100,modarag_hall
-100,-70,-54,-100,-100,modarag_hall
-100,-65,-53,-100,-85,modarag_hall
-100,-65,-73,-100,-100,modarag_hall
-100,-72,-58,-100,-100,modarag_hall
-100,-68,-65,-88,-100,modarag_hall
-100,-67,-66,-100,-100,modarag_hall
-100,-64,-52,-100,-100,modarag_hall
-100,-71,-55,-100,-76,modarag_hall
-100,-64,-100,-100,-100,modarag_hall
-100,-72,-100,-100,-100,elevators
-100,-80,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-78,-100,-100,-100,elevators
-100,-80,-100,-81,-100,elevators
-100,-82,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-76,-100,-100,-100,elevators
-100,-100,-100,-85,-100,elevators
-100,-78,-100,-89,-100,elevators
-100,-79,-87,-100,-100,elevators
-100,-100,-74,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-79,-73,-85,-100,elevators
-100,-75,-78,-86,-100,elevators
-100,-72,-100,-85,-100,elevators
-100,-76,-67,-85,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-78,-100,-100,-100,elevators
-100,-77,-100,-86,-100,elevators
-100,-74,-80,-76,-84,elevators
-100,-100,-100,-81,-100,elevators
-100,-100,-74,-78,-100,elevators
-100,-77,-68,-100,-100,elevators
-100,-77,-80,-100,-81,elevators
-100,-73,-75,-84,-100,elevators
-100,-82,-71,-91,-100,elevators
-100,-81,-81,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-77,-100,-100,elevators
-100,-76,-77,-80,-100,elevators
-100,-76,-100,-79,-100,elevators
-100,-81,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-78,-100,-100,elevators
-100,-80,-100,-88,-100,elevators
-100,-79,-100,-86,-100,elevators
-100,-81,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-76,-72,-100,-100,elevators
-100,-100,-69,-87,-100,elevators
-100,-83,-77,-88,-100,elevators
-100,-79,-82,-100,-100,elevators
-100,-100,-81,-100,-100,elevators
-100,-100,-73,-100,-100,elevators
-100,-100,-74,-83,-100,elevators
-100,-75,-72,-100,-100,elevators
-100,-73,-76,-82,-100,elevators
-100,-79,-77,-79,-100,elevators
-100,-100,-70,-100,-100,elevators
-100,-79,-74,-100,-100,elevators
-100,-81,-72,-100,-100,elevators
-100,-80,-73,-100,-100,elevators
-100,-100,-75,-100,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-80,-100,-100,elevators
-100,-100,-100,-92,-100,elevators
-100,-100,-100,-100,-100,elevators
-100,-100,-100,-86,-100,elevators
-100,-79,-100,-100,-100,elevators
-100,-100,-100,-82,-100,elevators
-100,-100,-76,-100,-100,elevators
-100,-100,-75,-100,-100,elevators
-100,-78,-100,-100,-100,elevators
-100,-75,-77,-83,-100,elevators
-100,-73,-100,-100,-100,elevators
-100,-73,-100,-100,-85,elevators
-100,-100,-67,-100,-100,elevators
-100,-80,-75,-100,-100,elevators
-100,-100,-84,-86,-100,elevators
-100,-74,-100,-100,-100,elevators
-100,-55,-70,-65,-100,another
-100,-61,-68,-76,-100,another
-100,-54,-74,-65,-100,another
-100,-100,-100,-100,-100,another
-100,-100,-100,-75,-100,another
-100,-100,-77,-72,-100,another
-100,-70,-72,-100,-100,another
-100,-69,-70,-72,-100,another
-100,-76,-83,-73,-100,another
-100,-100,-100,-71,-100,another
-100,-100,-100,-68,-100,another
-100,-100,-70,-67,-100,another
-100,-72,-77,-60,-100,another
-100,-58,-100,-67,-100,another
-100,-100,-83,-67,-100,another
-100,-100,-100,-73,-100,another
-100,-100,-76,-64,-100,another
-100,-63,-72,-67,-79,another
-100,-100,-70,-67,-100,another
-100,-59,-71,-64,-100,another
-100,-64,-69,-77,-100,another
-100,-60,-84,-64,-100,another
-100,-100,-73,-100,-100,another
-100,-68,-71,-73,-100,another
-100,-66,-75,-68,-100,another
-100,-64,-100,-70,-100,another
-100,-67,-100,-77,-100,another
-100,-100,-100,-73,-100,another
-100,-70,-79,-74,-100,another
-100,-78,-74,-72,-100,another
-100,-74,-70,-100,-100,another
-100,-100,-76,-76,-100,another
-100,-100,-86,-75,-100,another
-100,-100,-84,-73,-100,another
-100,-100,-100,-78,-100,another
-100,-62,-67,-72,-100,another
-100,-100,-73,-70,-100,another
-100,-100,-71,-73,-100,another
-100,-100,-67,-76,-100,another
-100,-100,-69,-72,-100,another
-100,-76,-80,-83,-87,another
-100,-66,-71,-73,-100,another
-100,-73,-87,-73,-100,another
-100,-100,-78,-100,-100,another
-100,-100,-78,-73,-100,another
-100,-66,-75,-79,-100,another
-100,-59,-70,-68,-83,another
-100,-62,-81,-65,-100,another
-100,-62,-100,-66,-100,another
-100,-100,-100,-65,-100,another
-100,-100,-85,-66,-83,another
-100,-71,-72,-70,-100,another
-100,-59,-71,-65,-100,another
-100,-58,-100,-74,-100,another
-100,-100,-82,-71,-100,another
-100,-100,-100,-72,-100,another
-100,-62,-73,-70,-100,another
-100,-67,-72,-67,-100,another
